day,gas_price_in_gwei,avg_transaction_fee_amount
2023-08-09,115.39265118005753,0.024161612751581373
2023-08-08,154.04563268848014,0.02902641085069535
2023-08-07,129.88728828745164,0.025328647164098723
2023-08-06,102.4123384349652,0.022055114857287898
2023-08-05,150.94254954642713,0.034507494154361266
2023-08-04,134.14854144146446,0.026933738962006695
2023-08-03,157.44481519536805,0.028320573130545264
2023-08-02,141.37810881353136,0.027829206563770605
2023-08-01,183.57056092224784,0.03580079965945512
2023-07-31,159.71721578167057,0.031640422622577054
2023-07-30,127.00254258022866,0.025533946380171427
2023-07-29,133.38573390212193,0.028092927047438827
2023-07-28,171.84465058019612,0.03728807645714397
2023-07-27,184.35024564377562,0.039235352427398604
2023-07-26,164.88699763345787,0.03134645052695995
2023-07-25,140.99687924750071,0.027659853167900674
2023-07-24,154.90550951921506,0.029621082587422777
2023-07-23,137.33901462617237,0.03076153175651437
2023-07-22,171.17345867935254,0.037796801573223765
2023-07-21,175.66907275165812,0.037725973281688356
2023-07-20,187.40803893762794,0.03720648847126579
2023-07-19,191.4133034542025,0.03842491603445436
2023-07-18,188.75150190455037,0.038794524170730676
2023-07-17,192.54534704805167,0.03940682653741501
2023-07-16,158.57806223878436,0.03315103053237326
2023-07-15,153.33645759621862,0.03396778045107602
2023-07-14,274.0033709003667,0.05016452685089709
2023-07-13,378.1690472443733,0.0707821861543319
2023-07-12,246.75157814359721,0.04906180301839701
2023-07-11,185.46327015560635,0.039211735758150026
2023-07-10,222.66315199921902,0.0445103075837204
2023-07-09,150.7039724678925,0.03324005031734691
2023-07-08,141.15714881326014,0.03254946592916161
2023-07-07,178.05993221122327,0.039400137131475124
2023-07-06,218.3496734714586,0.04269703181345327
2023-07-05,235.96439594925215,0.045797949941630334
2023-07-04,208.44682121356266,0.04452550563790022
2023-07-03,229.4429583537508,0.047835704248477905
2023-07-02,206.7421510441374,0.04529003574400163
2023-07-01,199.5652483272725,0.04458148134555107
2023-06-30,355.33932189852123,0.06509102614610869
2023-06-29,238.79004459955934,0.04988729721302231
2023-06-28,299.357267978013,0.06098289295705378
2023-06-27,243.4986679849963,0.0509650988694995
2023-06-26,244.80890663239938,0.04945186501852707
2023-06-25,235.04110586525724,0.051633580851961666
2023-06-24,226.02735979196933,0.04961574006057419
2023-06-23,270.49833693739663,0.05569954472011822
2023-06-22,303.3307475445816,0.05990759481436047
2023-06-21,289.10263052476705,0.05634471296497017
2023-06-20,260.9157962181561,0.05490164661353517
2023-06-19,248.07408118612508,0.05343906817459621
2023-06-18,233.4863794676538,0.05532666681064353
2023-06-17,267.1569413507051,0.05706864658776522
2023-06-16,274.02268962613437,0.05624761104681439
2023-06-15,339.12756658693326,0.06510432315065551
2023-06-14,387.00761027468104,0.07274145996652773
2023-06-13,292.95441752021804,0.05782279725240337
2023-06-12,282.20163727455036,0.05669302729917776
2023-06-11,243.32381564095294,0.05329086560548745
2023-06-10,652.568297276418,0.10728879007326339
2023-06-09,231.98609683683972,0.046516094022126635
2023-06-08,209.97245289089253,0.045631193996295345
2023-06-07,238.61734557898131,0.04822357137499865
2023-06-06,249.67765845911666,0.04986246847328638
2023-06-05,275.1280234803647,0.053287683751736765
2023-06-04,191.85963268848636,0.04400580049400878
2023-06-03,195.98611913211172,0.04545319318322362
2023-06-02,221.9003466721819,0.04454334132703725
2023-06-01,211.48169737392263,0.04364866921270889
2023-05-31,214.78548872288147,0.044027977356164566
2023-05-30,233.4679136436581,0.047560111865146595
2023-05-29,220.23543540700993,0.04489710857821134
2023-05-28,204.54353419050173,0.04683770922841943
2023-05-27,187.1510292468439,0.04117561463464204
2023-05-26,255.0746068877022,0.04892857781660316
2023-05-25,212.06354605737965,0.043323432476739664
2023-05-24,228.99653697484575,0.04697647472856489
2023-05-23,198.9955481161522,0.041979393263810574
2023-05-22,212.08995466444657,0.043840188592586427
2023-05-21,182.97558296917006,0.04332216493667632
2023-05-20,177.11003899765305,0.04008613543185082
2023-05-19,211.5066590909647,0.04612720148876588
2023-05-18,202.8942296555497,0.04140556595173044
2023-05-17,209.92278337795855,0.04447716422410747
2023-05-16,213.61268469750078,0.045653465675810675
2023-05-15,227.85453337321434,0.049311435191508275
2023-05-14,199.9983323834739,0.049081152559936184
2023-05-13,204.81880874989614,0.05042938603132391
2023-05-12,280.3085389587498,0.05717845436465547
2023-05-11,267.2682694946209,0.057014986097503044
2023-05-10,333.9242364212722,0.06647924936951377
2023-05-09,232.5824286564776,0.05405964234449642
2023-05-08,308.1671157809794,0.0659117319214066
2023-05-07,243.22642252674825,0.062413157768830774
2023-05-06,289.71298902991015,0.07366086474724504
2023-05-05,349.84213210747635,0.08155415859189563
2023-05-04,304.3235747138141,0.07943989067749652
2023-05-03,331.4745332332376,0.07754215176659901
2023-05-02,308.3263594919166,0.07214551601126673
2023-05-01,348.5474323099512,0.08441725281085143
2023-04-30,396.05135360635836,0.10481439690351926
2023-04-29,437.82386741817794,0.12227572589376963
2023-04-28,567.0722647194053,0.13539653566194448
2023-04-27,604.0292673536236,0.1383331323925485
2023-04-26,568.0128117785916,0.1293400797866941
2023-04-25,480.4322928217651,0.10941234898334888
2023-04-24,586.623516891449,0.13069608866671636
2023-04-23,486.9989119508304,0.1231029710101582
2023-04-22,344.75953362331273,0.08484347851244545
2023-04-21,349.2090401221853,0.07436071246387987
2023-04-20,366.3541297652758,0.07792984679436482
2023-04-19,473.07099956614906,0.09399778700465866
2023-04-18,316.9415580371224,0.06553232313220012
2023-04-17,313.16148986084204,0.06053540302484795
2023-04-16,226.76446192635132,0.04897798876054664
2023-04-15,256.5959379762873,0.05449269744835004
2023-04-14,319.1172802266421,0.05689180280253469
2023-04-13,257.7024593049525,0.05036693273272398
2023-04-12,224.91319605491285,0.04140623562755368
2023-04-11,213.17827199562274,0.03820039353177791
2023-04-10,192.0385301101525,0.03506478901529397
2023-04-09,160.11248872081987,0.03015532969090014
2023-04-08,156.65533263421736,0.030955385687089436
2023-04-07,160.2824025790568,0.030271867900551527
2023-04-06,169.7107627171875,0.029974987892090976
2023-04-05,184.4974918666567,0.03088459872133846
2023-04-04,168.83449978385622,0.02922238877057344
2023-04-03,172.22067656701074,0.029169736782112765
2023-04-02,127.2587543233642,0.02363786939821706
2023-04-01,145.48143251284955,0.023740832692401313
2023-03-31,173.49076553331827,0.028972054682290086
2023-03-30,188.60067567028858,0.03298492218002552
2023-03-29,246.07721298826598,0.04539668997182838
2023-03-28,314.7852970792436,0.04886137044560818
2023-03-27,268.23064324816005,0.046121257854626785
2023-03-26,228.12940904727546,0.0381129516177765
2023-03-25,138.76099551727756,0.024605971190556134
2023-03-24,240.52584787145955,0.03967206675209306
2023-03-23,183.22090143005735,0.031279131323823775
2023-03-22,288.44295862187954,0.04799147974651742
2023-03-21,301.0256911201247,0.04981497521765642
2023-03-20,229.48687832110323,0.036188037193632415
2023-03-19,193.40506822104183,0.03007322262721335
2023-03-18,216.5807975398979,0.03613304661143217
2023-03-17,232.38239473727765,0.04020083767243274
2023-03-16,164.84601676111066,0.028370016878034525
2023-03-15,250.48642447076588,0.04527741160991816
2023-03-14,304.60805284206674,0.05141459253827486
2023-03-13,254.5505880976507,0.044796608701200835
2023-03-12,215.78170181855387,0.04035116522750994
2023-03-11,509.8210038565992,0.08782367991053186
2023-03-10,355.5775860261005,0.058209012210207696
2023-03-09,323.1071635142249,0.0495227515920485
2023-03-08,200.08882736088526,0.03530346113845146
2023-03-07,206.40480484365315,0.03663072539456465
2023-03-06,162.47177366279934,0.02958656559478648
2023-03-05,134.3896699780121,0.025160108061064827
2023-03-04,153.37518196478902,0.029346550443829434
2023-03-03,257.5907985597321,0.04364195057699856
2023-03-02,206.92530776423013,0.03780920072136049
2023-03-01,323.9187172916575,0.0660861147154924
2023-02-28,327.3586540626403,0.07050208512198126
2023-02-27,213.25644694825647,0.037683516812607905
2023-02-26,212.8955450387102,0.038458276657805227
2023-02-25,197.21672344966439,0.035540506685426736
2023-02-24,274.483675371694,0.04622065538199877
2023-02-23,424.6007627101799,0.06040132692684391
2023-02-22,280.42601812246846,0.04961271871308539
2023-02-21,252.6149563886074,0.04556662456278928
2023-02-20,231.02326621170246,0.04158000649039955
2023-02-19,341.8134435030537,0.061539600912031034
2023-02-18,369.6462496591173,0.0689969760860885
2023-02-17,425.3141952987829,0.07115002298523268
2023-02-16,512.7860141436531,0.08335288735502513
2023-02-15,379.3728381661573,0.06830360525379421
2023-02-14,459.90848127933725,0.08497404128374246
2023-02-13,361.43201223478695,0.0640970235251784
2023-02-12,406.78663517015224,0.07984104084175034
2023-02-11,425.1454397172566,0.08851708083625862
2023-02-10,456.13529480259365,0.07360941879732864
2023-02-09,473.5302456587553,0.07976163476716362
2023-02-08,287.22745613662124,0.049705524723817916
2023-02-07,228.8075621121815,0.04044499602685985
2023-02-06,200.96719958578436,0.03502939139437543
2023-02-05,183.1333954044971,0.03337163353916663
2023-02-04,171.77141043082807,0.030729950201817083
2023-02-03,232.36740310724946,0.04007538652366558
2023-02-02,277.54880399170656,0.04610813224769955
2023-02-01,200.3405220810066,0.03200736084630593
2023-01-31,149.46919756088985,0.02497900703288223
2023-01-30,167.54193237067125,0.025717629521540383
2023-01-29,128.54850126381336,0.02080177863994816
2023-01-28,114.71302205110528,0.018574880323856215
2023-01-27,175.77404055444038,0.026493245549644256
2023-01-26,183.35730280436673,0.028587531797708506
2023-01-25,133.76216314584238,0.022779178511462113
2023-01-24,129.24640871313056,0.021275353363301643
2023-01-23,125.67720226078835,0.020631380484873982
2023-01-22,107.86212916211178,0.01822959670763557
2023-01-21,147.67401019949818,0.021286196087112505
2023-01-20,111.53050350929124,0.018592333398435325
2023-01-19,101.71669976771221,0.017351127406278616
2023-01-18,194.54728927730352,0.030917974820477413
2023-01-17,109.47245622870899,0.017706931807016504
2023-01-16,152.69728135775165,0.023447624217209997
2023-01-15,110.07101457701135,0.0185000290386328
2023-01-14,264.0128551169208,0.04066819617170203
2023-01-13,105.75703159718272,0.017416934794050043
2023-01-12,150.20509473557877,0.025142929784780825
2023-01-11,115.3871328403263,0.01945011257720974
2023-01-10,97.97631893348895,0.01623523163056091
2023-01-09,130.17478671032237,0.020229978041031077
2023-01-08,86.35443183350603,0.014265621781780905
2023-01-07,77.75554389496736,0.013551246736729831
2023-01-06,100.66626643809076,0.01595684110408948
2023-01-05,97.00067348398987,0.01670960913553101
2023-01-04,119.08463598112067,0.01878398176807791
2023-01-03,76.66600161552536,0.013045779465758528
2023-01-02,84.74332235271392,0.014651263575329563
2023-01-01,64.89838790876553,0.012112935642404803